date,spx,dax
17/11/2000,1367.719971,6752.290039
20/11/2000,1342.619995,6609.47998
21/11/2000,1347.349976,6678.069824
22/11/2000,1322.359985,6510.540039
24/11/2000,1341.77002,6664.180176
27/11/2000,1348.969971,6696.910156
28/11/2000,1336.089966,6625.560059
29/11/2000,1341.930054,6598.319824
30/11/2000,1314.949951,6372.330078
01/12/2000,1315.22998,6512.910156
04/12/2000,1324.969971,6408.100098
05/12/2000,1376.540039,6637.089844
06/12/2000,1351.459961,6622.25
07/12/2000,1343.550049,6566.080078
08/12/2000,1369.890015,6691.25
11/12/2000,1380.199951,6782.52002
12/12/2000,1371.180054,6733.589844
13/12/2000,1359.98999,6620.209961
14/12/2000,1340.930054,6469.950195
15/12/2000,1312.150024,6331.299805
18/12/2000,1322.73999,6390.25
19/12/2000,1305.599976,6479.279785
20/12/2000,1264.73999,6248.759766
21/12/2000,1274.859985,6200.709961
22/12/2000,1305.949951,6251.399902
26/12/2000,1315.189941,null
27/12/2000,1328.920044,6328.160156
28/12/2000,1334.219971,6371.640137
29/12/2000,1320.280029,6433.609863
02/01/2001,1283.27002,6289.819824
03/01/2001,1347.560059,6434.959961
04/01/2001,1333.339966,6376.540039
05/01/2001,1298.349976,6382.310059
08/01/2001,1295.859985,6392.169922
09/01/2001,1300.800049,6404.52002
10/01/2001,1313.27002,6320.069824
11/01/2001,1326.819946,6465.209961
12/01/2001,1318.550049,6490.029785
16/01/2001,1326.650024,6502.890137
17/01/2001,1329.469971,6653.379883
18/01/2001,1347.969971,6635.759766
19/01/2001,1342.540039,6651.529785
22/01/2001,1342.900024,6675
23/01/2001,1360.400024,6722.410156
24/01/2001,1364.300049,6706.669922
25/01/2001,1357.51001,6727.490234
26/01/2001,1354.949951,6695.200195
29/01/2001,1364.170044,6750.959961
30/01/2001,1373.72998,6739.299805
31/01/2001,1366.01001,6795.140137
01/02/2001,1373.469971,6704.680176
02/02/2001,1349.469971,6638.200195
05/02/2001,1354.310059,6628.069824
06/02/2001,1352.26001,6693.029785
07/02/2001,1340.890015,6578.959961
08/02/2001,1332.530029,6636.810059
09/02/2001,1314.76001,6497.069824
12/02/2001,1330.310059,6564.910156
13/02/2001,1318.800049,6557.930176
14/02/2001,1315.920044,6479.870117
15/02/2001,1326.609985,6591.669922
16/02/2001,1301.530029,6439.259766
20/02/2001,1278.939941,6451.569824
21/02/2001,1255.27002,6347.990234
22/02/2001,1252.819946,6277.990234
23/02/2001,1245.859985,6075.339844
26/02/2001,1267.650024,6189.069824
27/02/2001,1257.939941,6220.47998
28/02/2001,1239.939941,6208.240234
01/03/2001,1241.22998,6123.379883
02/03/2001,1234.180054,6159.02002
05/03/2001,1241.410034,6216.379883
06/03/2001,1253.800049,6284.060059
07/03/2001,1261.890015,6305.640137
08/03/2001,1264.73999,6267.060059
09/03/2001,1233.420044,6204.419922
12/03/2001,1180.160034,6046.560059
13/03/2001,1197.660034,5962.930176
14/03/2001,1166.709961,5794.120117
15/03/2001,1173.560059,5889.950195
16/03/2001,1150.530029,5734.490234
19/03/2001,1170.810059,5657.290039
20/03/2001,1142.619995,5782.160156
21/03/2001,1122.140015,5622.089844
22/03/2001,1117.579956,5388.02002
23/03/2001,1139.829956,5544.669922
26/03/2001,1152.689941,5726.970215
27/03/2001,1182.170044,5938.209961
28/03/2001,1153.290039,5817.52002
29/03/2001,1147.949951,5879.299805
30/03/2001,1160.329956,5829.950195
02/04/2001,1145.869995,5760.759766
03/04/2001,1106.459961,5553.459961
04/04/2001,1103.25,5597.660156
05/04/2001,1151.439941,5773.339844
06/04/2001,1128.430054,5698.879883
09/04/2001,1137.589966,5781.009766
10/04/2001,1168.380005,5913.839844
11/04/2001,1165.890015,5951.160156
12/04/2001,1183.5,6002.299805
16/04/2001,1179.680054,null
17/04/2001,1191.810059,5935.580078
18/04/2001,1238.160034,6164.879883
19/04/2001,1253.689941,6181.910156
20/04/2001,1242.97998,6127.970215
23/04/2001,1224.359985,6051.47998
24/04/2001,1209.469971,6124.569824
25/04/2001,1228.75,6115.189941
26/04/2001,1234.52002,6123.660156
27/04/2001,1253.050049,6175.240234
30/04/2001,1249.459961,6264.509766
01/05/2001,1266.439941,null
02/05/2001,1267.430054,6213.839844
03/05/2001,1248.579956,6089.169922
04/05/2001,1266.609985,6138.279785
07/05/2001,1263.51001,6122.620117
08/05/2001,1261.199951,6108.720215
09/05/2001,1255.540039,6063.939941
10/05/2001,1255.180054,6165.180176
11/05/2001,1245.670044,6141.02002
14/05/2001,1248.920044,6064.680176
15/05/2001,1249.439941,6070.379883
16/05/2001,1284.98999,6148.439941
17/05/2001,1288.48999,6173.810059
18/05/2001,1291.959961,6186.870117
21/05/2001,1312.829956,6249.870117
22/05/2001,1309.380005,6270.589844
23/05/2001,1289.050049,6215.25
24/05/2001,1293.170044,6278.899902
25/05/2001,1277.890015,6223.569824
29/05/2001,1267.930054,6120.330078
30/05/2001,1248.079956,6041.220215
31/05/2001,1255.819946,6123.259766
01/06/2001,1260.670044,6125.169922
04/06/2001,1267.109985,6177.740234
05/06/2001,1283.569946,6242.129883
06/06/2001,1270.030029,6192.439941
07/06/2001,1276.959961,6184.25
08/06/2001,1264.959961,6187.209961
11/06/2001,1254.390015,6162.740234
12/06/2001,1255.849976,6059.149902
13/06/2001,1241.599976,6111.939941
14/06/2001,1219.869995,6031.27002
15/06/2001,1214.359985,5915.180176
18/06/2001,1208.430054,5869.040039
19/06/2001,1212.579956,5922.529785
20/06/2001,1223.140015,5876.040039
21/06/2001,1237.040039,5926.379883
22/06/2001,1225.349976,5941.77002
25/06/2001,1218.599976,5902.319824
26/06/2001,1216.76001,5847.790039
27/06/2001,1211.069946,5833.100098
28/06/2001,1226.199951,5971.77002
29/06/2001,1224.380005,6058.379883
02/07/2001,1236.719971,6109.5
03/07/2001,1234.449951,6056.839844
05/07/2001,1219.23999,5999.189941
06/07/2001,1190.589966,5862.100098
09/07/2001,1198.780029,5869.859863
10/07/2001,1181.52002,5816.319824
11/07/2001,1180.180054,5801.799805
12/07/2001,1208.140015,5889.879883
13/07/2001,1215.680054,5928.009766
